"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"name";"message";"id";"created_time";"from.name";"from.id";"status_type"
"0";"1";"None";"142802334452";"seed";"";"";"None";"None";"";"";"";"";"";"";""
"1";"2";"1";"142802334452_10161455572944453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:30.713885";"Facebook:/<page-id>/posts";"";"Lawmakers and human rights advocates opposed President Rodrigo Duterte’s bid to arm civilians to help in the government’s anticrime campaign, warning that this could lead to the emergence of more vigilante groups and a rise in criminality in the country.";"142802334452_10161455572944453";"2021-06-28T22:50:40+0000";"INQUIRER.net";"142802334452";"shared_story"
"1";"3";"1";"142802334452_10161455543744453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:30.713885";"Facebook:/<page-id>/posts";"";"President Rodrigo Duterte seemed to have endorsed for the 2022 national elections his chief legal counsel Salvador Panelo during his taped weekly Palace briefing on the COVID-19 situation.";"142802334452_10161455543744453";"2021-06-28T22:30:56+0000";"INQUIRER.net";"142802334452";"shared_story"
"1";"4";"1";"142802334452_10161455543614453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:30.713885";"Facebook:/<page-id>/posts";"";"Today's #Newsstand by John Nery (June 29, 2021).  Visit opinion.inquirer.net for fearless views and more. Get the Inquirer here: INQ Subscription";"142802334452_10161455543614453";"2021-06-28T22:30:46+0000";"INQUIRER.net";"142802334452";"added_photos"
"1";"5";"1";"142802334452_10161454945799453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:30.713885";"Facebook:/<page-id>/posts";"";"Today's #Horizons by Richard Heydarian (June 29, 2021).  Visit opinion.inquirer.net for fearless views and more. Get the Inquirer here: INQ Subscription";"142802334452_10161454945799453";"2021-06-28T22:30:31+0000";"INQUIRER.net";"142802334452";"added_photos"
"1";"6";"1";"142802334452_10161455537444453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:30.713885";"Facebook:/<page-id>/posts";"";"The Imus City government had to suspend its COVID-19 vaccination program for a few hours on Monday on finding out that the doses it obtained from DOH lacked a certificate of analysis, Mayor Emmanuel Maliksi said in an official statement posted on Facebook.";"142802334452_10161455537444453";"2021-06-28T22:26:35+0000";"INQUIRER.net";"142802334452";"shared_story"
"1";"7";"1";"142802334452_10161455530554453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:30.713885";"Facebook:/<page-id>/posts";"";"President Rodrigo Duterte challenged Sen. Manny Pacquiao to name corrupt government agencies or else he would tell the people not to vote for him in the 2022 national elections.";"142802334452_10161455530554453";"2021-06-28T22:21:29+0000";"INQUIRER.net";"142802334452";"shared_story"
"1";"8";"1";"142802334452_10161455530309453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:30.713885";"Facebook:/<page-id>/posts";"";"Today's #Horizons by Richard Heydarian (June 29, 2021).  Visit opinion.inquirer.net for fearless views and more. Get the Inquirer here: INQ Subscription";"142802334452_10161455530309453";"2021-06-28T22:21:22+0000";"INQUIRER.net";"142802334452";"added_photos"
"1";"9";"1";"142802334452_10161455523874453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:30.713885";"Facebook:/<page-id>/posts";"";"DOJ would be asking the Interpol to place President Duterte’s “kumpadre,” indicted drug lord Peter Lim, in its red notice list after he allegedly fled the country, Justice Secretary Menardo Guevarra said.";"142802334452_10161455523874453";"2021-06-28T22:16:23+0000";"INQUIRER.net";"142802334452";"shared_story"
"1";"10";"1";"142802334452_10161455517144453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:30.713885";"Facebook:/<page-id>/posts";"";"Today's #NoFreeLunch by Cielito F. Habito (June 29, 2021).  Visit opinion.inquirer.net for fearless views and more. Get the Inquirer here: INQ Subscription";"142802334452_10161455517144453";"2021-06-28T22:11:47+0000";"INQUIRER.net";"142802334452";"added_photos"
"1";"11";"1";"142802334452_10161454933304453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:30.713885";"Facebook:/<page-id>/posts";"";"Today's Inquirer Editorial (June 29, 2021).  Visit opinion.inquirer.net for fearless views and more. Get the Inquirer here: INQ Subscription";"142802334452_10161454933304453";"2021-06-28T22:10:56+0000";"INQUIRER.net";"142802334452";"added_photos"
"1";"12";"1";"142802334452_10161455503684453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:30.713885";"Facebook:/<page-id>/posts";"";"Today's Inquirer Editorial (June 29, 2021).  Visit opinion.inquirer.net for fearless views and more. Get the Inquirer here: INQ Subscription";"142802334452_10161455503684453";"2021-06-28T22:01:35+0000";"INQUIRER.net";"142802334452";"added_photos"
"1";"13";"1";"142802334452_10161455455864453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:30.713885";"Facebook:/<page-id>/posts";"";"Today's Morning Prayer. #INQPrayers  Father, our ever-living God, we thank you for the gift of saints. As we celebrate the feast day of Sts. Peter and Paul, may we remember with gratitude our martyrs and Church founders. May today's believers be inspired and embrace what they believed and died for. And may all in good and bad times help build our Church. Amen.";"142802334452_10161455455864453";"2021-06-28T21:31:12+0000";"INQUIRER.net";"142802334452";"added_photos"
"1";"14";"1";"142802334452_10161454875039453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:30.713885";"Facebook:/<page-id>/posts";"";"Today's Morning Prayer. #INQPrayers  Father, our ever-living God, we thank you for the gift of  saints. As we celebrate the feast day of Sts. Peter and Paul, may we remember with gratitude our martyrs and Church founders. May today's believers be inspired and embrace what they believed and died for. And may all  in good and bad times help  build our Church. Amen.";"142802334452_10161454875039453";"2021-06-28T21:30:59+0000";"INQUIRER.net";"142802334452";"added_photos"
"1";"15";"1";"142802334452_10161455047449453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:30.713885";"Facebook:/<page-id>/posts";"";"#ICYMI: Drilon said the death of former President Noynoy Aquino is bound to reshape the 2022 elections and could be a positive driver for the scattered forces opposing the Duterte administration.";"142802334452_10161455047449453";"2021-06-28T17:01:41+0000";"INQUIRER.net";"142802334452";"shared_story"
"1";"16";"1";"142802334452_10161454900309453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:30.713885";"Facebook:/<page-id>/posts";"";"JUST IN: President Rodrigo Duterte says running for vice president is ""not at all a bad idea,"" adding there are things he would like to continue.  ""If there is a space for me there, siguro,"" Duterte says. He adds running for VP is also dependent on the presidential candidate he will support. | via Leila Salaverria, Philippine Daily Inquirer";"142802334452_10161454900309453";"2021-06-28T15:37:16+0000";"INQUIRER.net";"142802334452";"added_photos"
"1";"17";"1";"142802334452_10161454898979453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:30.713885";"Facebook:/<page-id>/posts";"";"The national government is eyeing to administer 8 to 10 million doses of COVID-19 vaccines next month, Secretary Carlito Galvez Jr. said Monday during the weekly Palace briefing on the COVID-19 situation in the Philippines.";"142802334452_10161454898979453";"2021-06-28T15:36:34+0000";"INQUIRER.net";"142802334452";"shared_story"
"1";"18";"1";"142802334452_10161454886434453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:30.713885";"Facebook:/<page-id>/posts";"";"Gearing up for two important regional tournaments, the Philippine National Volleyball Federation will open its bubble training facilities in Ilocos Norte on July 1.";"142802334452_10161454886434453";"2021-06-28T15:30:46+0000";"INQUIRER.net";"142802334452";"shared_story"
"1";"19";"1";"142802334452_10161454874944453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:30.713885";"Facebook:/<page-id>/posts";"";"Via Nolisoli.ph  No surprise: Microplastics were found in PH salt";"142802334452_10161454874944453";"2021-06-28T15:25:11+0000";"INQUIRER.net";"142802334452";"shared_story"
"1";"20";"1";"142802334452_10161454826224453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:30.713885";"Facebook:/<page-id>/posts";"";"JUST IN: The government’s COVID-19 task force has recommended that the NCR Plus be kept under GCQ until July 15.";"142802334452_10161454826224453";"2021-06-28T14:56:05+0000";"INQUIRER.net";"142802334452";"shared_story"
"1";"21";"1";"142802334452_10161454820224453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:30.713885";"Facebook:/<page-id>/posts";"";"Heads up!   Here are the new quarantine classifications for the month of July as recommended by the IATF. https://inq.news/July";"142802334452_10161454820224453";"2021-06-28T14:52:19+0000";"INQUIRER.net";"142802334452";"added_photos"
"1";"22";"1";"142802334452_10161454814224453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:30.713885";"Facebook:/<page-id>/posts";"";"Actress and celebrity mom Andi Eigenmann had a very simple birthday celebration recently, a far cry from the parties she used to have in the past.";"142802334452_10161454814224453";"2021-06-28T14:49:05+0000";"INQUIRER.net";"142802334452";"shared_story"
"1";"23";"1";"142802334452_10161454801309453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:30.713885";"Facebook:/<page-id>/posts";"";"Taguig on Monday temporarily suspended the use of Sinovac's COVID-19 vaccine until a Certificate of Analysis can be obtained.   READ: inq.news/TaguigSinovac";"142802334452_10161454801309453";"2021-06-28T14:41:16+0000";"INQUIRER.net";"142802334452";"added_photos"
"1";"24";"1";"142802334452_10161454787524453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:30.713885";"Facebook:/<page-id>/posts";"";"“We’re banged up. There’s no question we came out of the third window limping,” said Philippine team head coach Tab Baldwin during the pre-event press conference on Monday.";"142802334452_10161454787524453";"2021-06-28T14:37:52+0000";"INQUIRER.net";"142802334452";"shared_story"
"1";"25";"1";"142802334452_403551437574212";"data";"data.*";"fetched (200)";"2021-07-28 19:09:30.713885";"Facebook:/<page-id>/posts";"";"WATCH: President Rodrigo Duterte addresses the nation (June 28, 2021)";"142802334452_403551437574212";"2021-06-28T14:33:07+0000";"INQUIRER.net";"142802334452";"added_video"
"1";"26";"1";"142802334452_10161454727749453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:30.713885";"Facebook:/<page-id>/posts";"";"AstraZeneca said it was on schedule to meet its commitments for supplying coronavirus vaccines in Southeast Asia, after some initial delays in regional production and delivery.";"142802334452_10161454727749453";"2021-06-28T14:18:20+0000";"INQUIRER.net";"142802334452";"shared_story"
"1";"27";"1";"142802334452";"offcut";"";"fetched (200)";"2021-07-28 19:09:30.713885";"Facebook:/<page-id>/posts";"";"";"";"";"";"";""
"1";"28";"1";"142802334452";"headers";"";"fetched (200)";"2021-07-28 19:09:30.713885";"Facebook:/<page-id>/posts";"";"";"";"";"";"";""
"1";"29";"1";"142802334452_10161454713494453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:31.432071";"Facebook:/<page-id>/posts";"";"“God’s will be done, FVR, ERAP, GMA, PRRD all won with no one dying,” Sotto told reporters after he was asked what he thought of the speculation that Aquino’s death may benefit a political group.";"142802334452_10161454713494453";"2021-06-28T14:06:17+0000";"INQUIRER.net";"142802334452";"shared_story"
"1";"30";"1";"142802334452_10161454704204453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:31.432071";"Facebook:/<page-id>/posts";"";"""I am proud that this role is a strong representation for Asians,"" says the actress, who will be only the second Filipina to perform the role abroad.";"142802334452_10161454704204453";"2021-06-28T13:59:39+0000";"INQUIRER.net";"142802334452";"shared_story"
"1";"31";"1";"142802334452_10161454635854453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:31.432071";"Facebook:/<page-id>/posts";"";"Two members of former President Noynoy Aquino’s protocol staff took a trip down memory lane to show that the late statesman was no unfeeling individual.";"142802334452_10161454635854453";"2021-06-28T13:16:09+0000";"INQUIRER.net";"142802334452";"shared_story"
"1";"32";"1";"142802334452_10161454604604453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:31.432071";"Facebook:/<page-id>/posts";"";"In a memorandum, the Taguig City Vaccination Task Force said the first and second dose of Sinovac vaccinations are “canceled until further notice.”";"142802334452_10161454604604453";"2021-06-28T12:53:47+0000";"INQUIRER.net";"142802334452";"shared_story"
"1";"33";"1";"142802334452_10161454599324453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:31.432071";"Facebook:/<page-id>/posts";"";"The Indonesian government gave honor to Philippine soldiers who rescued four Indonesian nationals held captive by the Filipino terror group Abu Sayyaf in Tawi-Tawi province.";"142802334452_10161454599324453";"2021-06-28T12:50:57+0000";"INQUIRER.net";"142802334452";"shared_story"
"1";"34";"1";"142802334452_10161454571089453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:31.432071";"Facebook:/<page-id>/posts";"";"REVIEW: ""John Green's 'The Anthropocene Reviewed' is an invitation to find wonder in both the profound and the mundane. Few books will love you harder into this moment, and on into your next.""  Have you read John Green's latest work yet? inq.news/AnthropoceneReviewed";"142802334452_10161454571089453";"2021-06-28T12:30:27+0000";"INQUIRER.net";"142802334452";"added_photos"
"1";"35";"1";"142802334452_10161454566519453";"data";"data.*";"fetched (200)";"2021-07-28 19:09:31.432071";"Facebook:/<page-id>/posts";"";"Via Bandera";"142802334452_10161454566519453";"2021-06-28T12:26:44+0000";"INQUIRER.net";"142802334452";"mobile_status_update"
