word,lexicon
akin,stopwords-tl
aking,stopwords-tl
ako,stopwords-tl
alin,stopwords-tl
am,stopwords-tl
amin,stopwords-tl
aming,stopwords-tl
ang,stopwords-tl
ano,stopwords-tl
anumang,stopwords-tl
apat,stopwords-tl
at,stopwords-tl
atin,stopwords-tl
ating,stopwords-tl
ay,stopwords-tl
bababa,stopwords-tl
bago,stopwords-tl
bakit,stopwords-tl
bawat,stopwords-tl
bilang,stopwords-tl
dahil,stopwords-tl
dalawa,stopwords-tl
dapat,stopwords-tl
din,stopwords-tl
dito,stopwords-tl
doon,stopwords-tl
gagawin,stopwords-tl
gayunman,stopwords-tl
ginagawa,stopwords-tl
ginawa,stopwords-tl
ginawang,stopwords-tl
gumawa,stopwords-tl
gusto,stopwords-tl
habang,stopwords-tl
hanggang,stopwords-tl
hindi,stopwords-tl
huwag,stopwords-tl
iba,stopwords-tl
ibaba,stopwords-tl
ibabaw,stopwords-tl
ibig,stopwords-tl
ikaw,stopwords-tl
ilagay,stopwords-tl
ilalim,stopwords-tl
ilan,stopwords-tl
inyong,stopwords-tl
isa,stopwords-tl
isang,stopwords-tl
itaas,stopwords-tl
ito,stopwords-tl
iyo,stopwords-tl
iyon,stopwords-tl
iyong,stopwords-tl
ka,stopwords-tl
kahit,stopwords-tl
kailangan,stopwords-tl
kailanman,stopwords-tl
kami,stopwords-tl
kanila,stopwords-tl
kanilang,stopwords-tl
kanino,stopwords-tl
kanya,stopwords-tl
kanyang,stopwords-tl
kapag,stopwords-tl
kapwa,stopwords-tl
karamihan,stopwords-tl
katiyakan,stopwords-tl
katulad,stopwords-tl
kaya,stopwords-tl
kaysa,stopwords-tl
ko,stopwords-tl
kong,stopwords-tl
kulang,stopwords-tl
kumuha,stopwords-tl
kung,stopwords-tl
laban,stopwords-tl
lahat,stopwords-tl
lamang,stopwords-tl
likod,stopwords-tl
lima,stopwords-tl
maaari,stopwords-tl
maaaring,stopwords-tl
maging,stopwords-tl
mahusay,stopwords-tl
makita,stopwords-tl
marami,stopwords-tl
marapat,stopwords-tl
masyado,stopwords-tl
may,stopwords-tl
mayroon,stopwords-tl
mga,stopwords-tl
minsan,stopwords-tl
mismo,stopwords-tl
mula,stopwords-tl
muli,stopwords-tl
na,stopwords-tl
nabanggit,stopwords-tl
naging,stopwords-tl
nagkaroon,stopwords-tl
nais,stopwords-tl
nakita,stopwords-tl
namin,stopwords-tl
napaka,stopwords-tl
narito,stopwords-tl
nasaan,stopwords-tl
ng,stopwords-tl
ngayon,stopwords-tl
ni,stopwords-tl
nila,stopwords-tl
nilang,stopwords-tl
nito,stopwords-tl
niya,stopwords-tl
niyang,stopwords-tl
noon,stopwords-tl
o,stopwords-tl
pa,stopwords-tl
paano,stopwords-tl
pababa,stopwords-tl
paggawa,stopwords-tl
pagitan,stopwords-tl
pagkakaroon,stopwords-tl
pagkatapos,stopwords-tl
palabas,stopwords-tl
pamamagitan,stopwords-tl
panahon,stopwords-tl
pangalawa,stopwords-tl
para,stopwords-tl
paraan,stopwords-tl
pareho,stopwords-tl
pataas,stopwords-tl
pero,stopwords-tl
pumunta,stopwords-tl
pumupunta,stopwords-tl
sa,stopwords-tl
saan,stopwords-tl
sabi,stopwords-tl
sabihin,stopwords-tl
sarili,stopwords-tl
sila,stopwords-tl
sino,stopwords-tl
siya,stopwords-tl
tatlo,stopwords-tl
tayo,stopwords-tl
tulad,stopwords-tl
tungkol,stopwords-tl
una,stopwords-tl
walang,stopwords-tl
